Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,3.610000,4.800000,3.610000,4.200000,4.200000,122600
2017-01-09,4.186000,4.334000,3.330000,3.660000,3.660000,506500
2017-01-16,3.810000,3.810000,3.300000,3.430000,3.430000,33400
2017-01-23,3.440000,3.443000,3.020000,3.110000,3.110000,108100
2017-01-30,3.090000,3.400000,3.070000,3.130000,3.130000,24100
2017-02-06,3.100000,3.650000,3.100000,3.380000,3.380000,122500
2017-02-13,3.300000,3.380000,3.080000,3.280000,3.280000,46700
2017-02-20,3.150000,3.300000,3.070000,3.150000,3.150000,34200
2017-02-27,3.172000,3.240000,3.060000,3.130000,3.130000,40900
2017-03-06,3.130000,3.605000,3.120000,3.440000,3.440000,77400
2017-03-13,3.345000,3.639000,3.193000,3.340000,3.340000,118400
2017-03-20,3.250000,3.570000,3.060000,3.370000,3.370000,30000
2017-03-27,3.410000,4.409000,3.370000,4.000000,4.000000,280000
2017-04-03,4.000000,4.200000,3.710000,4.020000,4.020000,85200
2017-04-10,4.020000,4.240000,3.640000,4.020000,4.020000,53100
2017-04-17,4.160000,4.280000,3.770000,3.810000,3.810000,100400
2017-04-24,3.830000,4.210000,3.540000,3.650000,3.650000,80500
2017-05-01,3.700000,3.810000,3.470000,3.760000,3.760000,73700
2017-05-08,3.600000,4.150000,3.400000,3.620000,3.620000,156900
2017-05-15,3.630000,3.778000,3.410000,3.630000,3.630000,40600
2017-05-22,3.933000,3.933000,3.480000,3.620000,3.620000,45600
2017-05-29,3.697000,3.950000,3.600000,3.910000,3.910000,76300
2017-06-05,3.890000,4.040000,3.776000,4.000000,4.000000,73700
2017-06-12,4.000000,4.120000,3.590000,3.590000,3.590000,80100
2017-06-19,3.840000,4.100000,3.750000,3.940000,3.940000,98400
2017-06-26,4.000000,4.090000,3.710000,4.080000,4.080000,50100
2017-07-03,4.030000,4.098000,3.650000,3.960000,3.960000,41900
2017-07-10,4.040000,4.120000,3.610000,3.910000,3.910000,120800
